Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EAR,2947.847608,3125.773236,3263.06301,3347.558446,3450.72922,3575.877997,3775.323963,3930.719028,3891.194155,3970.116867,4174.048967,4275.998358,4356.14132,4606.199473,4964.274368,5342.918667,5783.369403,6210.036696,6495.632671,6585.816832,6996.918471,7409.3026,7770.923038,8007.978473,8231.999535,8334.31414,8675.951978,9086.117586,9530.145859,9782.709966,9381.827478,10282.9451
EAS,3247.053261,3495.101512,3719.323255,3960.701817,4245.403041,4562.173478,4884.422539,5138.606772,5134.568319,5369.940544,5774.617179,6078.835927,6451.17232,6875.066832,7459.56589,8117.135235,8911.469478,9849.509542,10474.51886,10856.71981,11787.6553,12679.24515,13510.3467,14202.55761,14714.05288,15128.56725,15629.52749,16351.10772,17448.44917,18376.44353,18612.85181,20296.09938
ECA,7096.032163,6926.311225,6378.33013,6140.677802,5534.782274,5537.167887,5610.744999,5864.792445,5365.496862,5546.788048,6222.844784,6572.210132,7037.835499,7785.938642,8694.116174,9789.351301,11699.04122,13011.63433,14871.05992,14340.21441,15354.51897,16947.84306,17957.83062,19358.78075,19709.44362,19250.60477,19645.82109,20830.33483,22233.96765,22757.90674,22651.27778,24892.8816
ECS,11866.51618,12158.94953,12194.1615,12276.18613,12477.47369,12951.29664,13401.98939,13977.91309,14262.79151,14813.29082,15952.58719,16756.30564,17562.07354,18240.92896,19365.0234,20397.96085,22589.23908,24207.36306,25855.40839,25130.44376,26189.20874,27743.13486,28506.46584,29814.3749,30540.7337,30967.68712,32401.30862,34073.93754,35757.71023,36744.02403,35860.62682,38939.77084
ECU,4824.617129,5081.838064,5186.864275,5293.400616,5512.668931,5630.848337,5709.651427,5933.593747,6070.919194,5749.842382,5832.268524,6090.973482,6327.228325,6515.644136,7119.191726,7602.647804,8046.431679,8304.77549,8853.996342,8816.461721,9091.306548,9857.520523,10311.4046,11153.68521,11713.17591,11060.28627,11034.26918,11617.91222,11837.95927,11850.49495,10890.45664,11661.19317
EGY,3709.400561,3790.879731,3964.922529,4091.979995,4258.987409,4459.776185,4672.965036,4914.893239,5143.648946,5424.118729,5787.54213,6011.761323,6134.872156,6336.851671,6650.316968,7037.341176,7614.842917,8229.523278,8829.135251,9129.202625,9523.553039,9686.046264,11092.74326,11221.38039,10895.94317,11512.40214,11192.37301,11014.48648,11637.87851,12259.71657,12605.97574,13316.24499
EMU,16995.80599,17964.59607,18546.83618,18779.12391,19592.97007,20437.70814,21070.03564,21914.42272,22959.6498,23838.26992,25314.40936,26494.36991,27533.73734,27984.21673,29079.57014,30078.3678,32535.67391,34420.17449,35715.11289,34793.32125,35773.73141,37425.37192,37799.03875,38986.0722,39949.71223,41038.03385,43532.99383,45610.76395,47548.52271,48853.59872,47146.77352,50826.45994
ERI,,,813.0685901,952.3294075,1189.812521,1257.538692,1404.072206,1542.138157,1579.048577,1579.346743,1526.846924,1639.089229,1641.17399,1554.014751,1548.161959,1575.908648,1558.315131,1580.831377,1422.094264,1459.462952,1485.360306,1625.507673,,,,,,,,,,
ESP,13678.2757,14464.00245,14858.14505,14975.57233,15585.50745,16279.09657,16975.12105,17912.75358,19096.61489,19954.29022,21584.2512,22949.18185,24371.59885,25046.1107,26143.63217,27606.93405,30720.22221,32469.53045,33263.2724,32092.36482,31682.7131,31867.97324,31720.12,32434.0032,33525.74063,34903.12748,37286.21343,39528.92539,40696.38768,41695.14695,37756.351,40775.27862
EST,,,,,,6476.327722,6889.810061,7979.377726,8450.577598,8412.066776,9421.291423,10314.26282,11663.2715,13132.58072,14536.34741,16634.89274,19345.31471,22195.19759,22802.34218,20477.85243,21619.45455,24557.23615,25996.04678,27464.51868,28945.46533,29175.92593,31312.7523,33821.93291,36249.35815,37851.30077,37645.22136,42191.5144
ETH,414.5666792,384.1804282,346.2020287,386.9030993,393.8379415,412.7697818,457.8266411,465.9628041,441.7376841,457.6502585,482.3357457,518.9838164,519.9319066,504.1538956,571.5659226,640.9698468,712.343569,793.3215141,871.5463026,928.3920242,1028.436486,1134.784509,1213.595972,1283.570449,1513.703236,1657.344704,1878.812682,2021.562908,2153.769081,2315.158138,2422.681026,2599.736165
EUU,14811.65202,15488.5955,15958.0382,16199.72115,16945.55433,17749.47635,18345.76162,19068.60209,19968.30294,20745.13059,22073.71203,23167.71412,24186.88601,24706.99623,25864.45042,26815.14356,29125.96591,31033.01978,32492.6596,31816.40818,32865.67577,34467.26742,34936.48814,36090.22351,37077.01712,38222.80411,40580.13837,42677.58868,44643.86611,46074.83544,44817.42601,48436.3432
FCS,2489.02021,2493.629649,2490.308133,2421.252331,2266.848696,2249.495809,2275.518418,2383.72092,2482.993482,2518.02719,2672.276845,2790.889988,2814.041053,2759.871581,3150.466863,3376.26379,3632.093524,3885.151636,4066.802544,4027.124684,4201.92147,4232.108676,4452.318635,4652.809762,4663.418309,4458.613063,4511.39675,4658.846541,4811.061559,4912.554067,4674.026857,4872.447578
